feature_num_trains,feature_num_intervals,feature_num_points,feature_num_stations,feature_num_crossings,feature_num_depots,feature_num_routes,feature_max_time,feature_alpha,feature_avg_num_trips,feature_avg_service_time_min,feature_avg_service_time_max,feature_avg_arcs_in_cost_matrix,feature_avg_demands_per_day,feature_ratio_points_trains,feature_ratio_points_stations,feature_ratio_points_crossings,feature_ratio_points_depots,feature_std_arcs_in_cost_matrix,Instances,algo_Model,algo_Enum,algo_Heuristic
4,4,7,7,5,3,7,36927.0,50.0,4.0,155.42857142857142,474.0,424.6666666666667,10.285714285714286,1.75,1.0,1.4,2.3333333333333335,29.584154918168988,t4p7r7h4,0.0,0.0,0.0
4,1,8,7,3,2,2,23803.0,46.0,4.0,130.0,473.0,237.85714285714286,9.0,2.0,1.1428571428571428,2.6666666666666665,4.0,14.505452880393156,t4p8r2h1,0.0,0.0,0.0
4,1,9,7,5,2,2,10511.0,46.0,3.0,80.44444444444444,339.0,107.875,6.666666666666667,2.25,1.2857142857142858,1.8,4.5,6.009107670860957,t4p9r2h1,0.0,0.0,0.0
5,5,5,5,2,2,2,50387.0,77.0,3.0,122.0,550.0,857.25,8.0,1.0,1.0,2.5,2.5,8.613216588476108,t5p5r2h5,0.0,0.0,0.0
5,1,6,5,5,3,6,21011.0,57.0,6.0,120.83333333333333,518.0,154.0,17.333333333333332,1.2,1.2,1.2,2.0,9.09945053286186,t5p6r6h1,1.75459825750242,1.1737657308809293,0.0
5,2,7,6,5,2,2,35651.0,59.0,6.0,89.28571428571429,491.0,198.33333333333334,20.0,1.4,1.1666666666666667,1.4,3.5,13.755806854642232,t5p7r2h2,5.430949358160531,0.9545304932524569,0.0
5,3,8,7,4,3,8,30409.0,51.0,3.0,103.25,417.0,318.42857142857144,9.0,1.6,1.1428571428571428,2.0,2.6666666666666665,11.84250387203583,t5p8r8h3,0.0,0.0,0.0
5,3,9,7,6,2,2,27814.0,80.0,3.0,100.77777777777777,530.0,245.125,8.0,1.8,1.2857142857142858,1.5,4.5,12.732217992164601,t5p9r2h3,0.0,0.0,0.0
3,3,10,10,5,3,6,46158.0,63.0,4.0,123.3,423.0,232.77777777777777,8.1,3.3333333333333335,1.0,2.0,3.3333333333333335,11.82067659069177,t3p10r6h3,0.0,0.0,0.0
3,1,11,11,3,2,2,62344.0,55.0,7.0,137.72727272727272,523.0,160.9,17.272727272727273,3.6666666666666665,1.0,3.6666666666666665,5.5,8.74585616163449,t3p11r2h1,0.0,0.0,0.0
3,3,12,12,2,2,2,58976.0,66.0,2.0,118.5,579.0,705.7272727272727,2.75,4.0,1.0,6.0,6.0,36.389536231002424,t3p12r2h3,0.0,0.0,0.0
3,2,13,11,7,4,12,34661.0,86.0,3.0,154.23076923076923,536.0,196.25,4.615384615384615,4.333333333333333,1.1818181818181819,1.8571428571428572,3.25,12.839554769020095,t3p13r12h2,0.0,0.0,0.0
3,5,14,13,4,3,8,43885.0,44.0,5.0,91.07142857142857,560.0,112.6923076923077,8.571428571428571,4.666666666666667,1.0769230769230769,3.5,4.666666666666667,6.6377083091706535,t3p14r8h5,0.0,0.0,0.0
4,3,10,9,6,3,6,27894.0,67.0,4.0,151.7,476.0,221.77777777777777,9.6,2.5,1.1111111111111112,1.6666666666666667,3.3333333333333335,8.854098583616237,t4p10r6h3,0.0,0.0,0.0
4,2,11,10,3,2,2,47246.0,53.0,6.0,113.27272727272727,374.0,213.3,18.0,2.75,1.1,3.6666666666666665,5.5,14.825990692024599,t4p11r2h2,0.0,0.0,0.0
4,2,12,10,7,2,2,59749.0,52.0,4.0,111.5,302.0,364.54545454545456,10.5,3.0,1.2,1.7142857142857142,6.0,21.697773812761348,t4p12r2h2,0.0,0.0,0.0
4,1,13,11,7,3,8,51430.0,64.0,4.0,108.46153846153847,320.0,277.8333333333333,10.76923076923077,3.25,1.1818181818181819,1.8571428571428572,4.333333333333333,15.799964838216853,t4p13r8h1,0.0,0.0,0.0
4,4,14,12,7,2,2,63268.0,87.0,4.0,102.28571428571429,461.0,307.84615384615387,9.428571428571429,3.5,1.1666666666666667,2.0,7.0,13.8277655675715,t4p14r2h4,0.0,0.0,0.0
5,4,10,9,5,2,2,41136.0,43.0,5.0,77.0,365.0,200.55555555555554,16.0,2.0,1.1111111111111112,2.0,5.0,8.807964970047294,t5p10r2h4,0.0,0.0,0.0
5,3,11,8,6,3,8,40096.0,84.0,2.0,112.81818181818181,366.0,555.4,3.8181818181818183,2.2,1.375,1.8333333333333333,3.6666666666666665,27.54705065882734,t5p11r8h3,0.0,0.0,0.0
5,2,12,9,7,2,2,41735.0,84.0,3.0,129.41666666666666,331.0,253.72727272727272,9.333333333333334,2.4,1.3333333333333333,1.7142857142857142,6.0,12.67847789180123,t5p12r2h2,0.0,0.460555048239171,0.865525866518442
5,2,13,10,10,4,15,43897.0,83.0,2.0,74.6923076923077,501.0,503.8333333333333,4.153846153846154,2.6,1.3,1.3,3.25,32.68239417314602,t5p13r15h2,0.0,0.0,0.0
5,1,14,12,6,2,2,20300.0,52.0,2.0,115.42857142857143,388.0,227.84615384615384,4.714285714285714,2.8,1.1666666666666667,2.3333333333333335,7.0,12.03102498252653,t5p14r2h1,0.0,0.0,0.0
6,2,10,9,6,3,6,38744.0,77.0,2.0,119.1,590.0,575.6666666666666,6.4,1.6666666666666667,1.1111111111111112,1.6666666666666667,3.3333333333333335,31.75951301054011,t6p10r6h2,0.0,0.0,17.09558823529412
6,2,11,8,9,4,15,44051.0,87.0,2.0,110.72727272727273,477.0,588.3,5.090909090909091,1.8333333333333333,1.375,1.2222222222222223,2.75,36.73703853061648,t6p11r15h2,0.0,5.4898460165141705,5.4898460165141705
6,2,12,10,8,4,10,49377.0,55.0,2.0,151.0,562.0,598.0,6.0,2.0,1.2,1.5,3.0,26.65264783025575,t6p12r10h2,0.0,0.0,0.0
6,2,13,10,8,2,2,48238.0,80.0,2.0,92.23076923076923,379.0,551.25,5.538461538461538,2.1666666666666665,1.3,1.625,6.5,28.116202327720814,t6p13r2h2,1.7768508863399375,0.0,0.0
6,1,14,12,5,2,2,52697.0,83.0,2.0,80.42857142857143,592.0,541.8461538461538,7.071428571428571,2.3333333333333335,1.1666666666666667,2.8,7.0,29.77052273085978,t6p14r2h1,0.0,47.586002623450256,0.0
3,2,15,15,5,4,13,42644.0,62.0,3.0,142.2,478.0,209.14285714285714,5.6,5.0,1.0,3.0,3.75,14.38181958911589,t3p15r13h2,0.0,0.0,0.0
3,1,16,13,8,2,2,35645.0,74.0,2.0,104.5625,388.0,335.73333333333335,2.25,5.333333333333333,1.2307692307692308,2.0,8.0,18.68142273906234,t3p16r2h1,0.0,0.0,0.0
3,3,17,17,5,3,6,26920.0,75.0,4.0,124.29411764705883,441.0,79.0625,8.470588235294118,5.666666666666667,1.0,3.4,5.666666666666667,5.00585594578989,t3p17r6h3,0.0,0.0,0.0
3,4,18,16,4,2,2,47572.0,47.0,4.0,101.33333333333333,536.0,125.0,6.666666666666667,6.0,1.125,4.5,9.0,7.483314773547883,t3p18r2h4,0.0,0.0,0.0
3,5,19,16,8,2,2,53426.0,67.0,4.0,127.73684210526316,490.0,129.72222222222223,7.894736842105263,6.333333333333333,1.1875,2.375,9.5,7.392229821129418,t3p19r2h5,0.0,0.0,0.0
4,1,15,12,8,2,2,56844.0,78.0,6.0,76.73333333333333,382.0,174.42857142857142,16.133333333333333,3.75,1.25,1.875,7.5,9.162924406185473,t4p15r2h1,0.0,0.5075022065313328,0.4164827890556046
4,2,16,13,8,2,2,46897.0,68.0,4.0,97.625,398.0,208.8,10.5,4.0,1.2307692307692308,2.0,8.0,12.560254774486067,t4p16r2h2,0.0,0.0,0.0
4,3,17,15,6,4,11,59439.0,63.0,2.0,93.3529411764706,493.0,488.25,4.9411764705882355,4.25,1.1333333333333333,2.8333333333333335,4.25,24.347741168330174,t4p17r11h3,0.0,0.0,0.0
4,4,18,17,3,2,2,55333.0,74.0,4.0,115.33333333333333,389.0,220.0,10.666666666666666,4.5,1.0588235294117647,6.0,9.0,11.707212457686577,t4p18r2h4,0.0,0.0,0.0
4,1,19,18,8,4,15,5988.0,71.0,2.0,71.05263157894737,346.0,66.83333333333333,3.5789473684210527,4.75,1.0555555555555556,2.375,4.75,3.403429642777023,t4p19r15h1,0.0,0.0,0.0
5,2,15,15,5,2,2,43553.0,54.0,2.0,95.06666666666666,523.0,428.92857142857144,5.6,3.0,1.0,3.0,7.5,22.59729530501473,t5p15r2h2,0.0,0.0,0.0
5,2,16,13,10,4,15,41757.0,55.0,2.0,118.0625,497.0,376.73333333333335,4.5,3.2,1.2307692307692308,1.6,4.0,21.377454375008156,t5p16r15h2,0.0,0.0,0.0
5,1,17,14,8,3,6,50935.0,50.0,2.0,99.41176470588235,331.0,423.6875,4.588235294117647,3.4,1.2142857142857142,2.125,5.666666666666667,24.560432482959254,t5p17r6h1,0.0,0.0,0.0
5,1,18,15,9,3,6,36523.0,40.0,2.0,121.33333333333333,482.0,296.52941176470586,4.666666666666667,3.6,1.2,2.0,6.0,14.48373386640347,t5p18r6h1,0.0,0.0,0.0
5,1,19,17,6,4,16,29121.0,50.0,2.0,137.94736842105263,431.0,232.44444444444446,5.052631578947368,3.8,1.1176470588235294,3.1666666666666665,4.75,12.889367807194262,t5p19r16h1,0.0,0.0,0.0
6,1,15,15,6,3,7,30495.0,48.0,2.0,125.6,505.0,300.57142857142856,8.4,2.5,1.0,2.5,5.0,17.702761228182478,t6p15r7h1,0.0,0.0,0.0
6,1,16,15,4,3,6,49750.0,77.0,2.0,119.125,563.0,456.26666666666665,7.875,2.6666666666666665,1.0666666666666667,4.0,5.333333333333333,19.164086782892166,t6p16r6h1,0.2641045489731797,0.0,0.0
6,1,17,15,9,4,10,30537.0,70.0,2.0,109.11764705882354,439.0,265.3125,7.411764705882353,2.8333333333333335,1.1333333333333333,1.8888888888888888,4.25,14.801683814688111,t6p17r10h1,0.0,0.0,0.0
6,3,18,16,7,4,15,58440.0,40.0,2.0,108.44444444444444,483.0,459.05882352941177,7.5,3.0,1.125,2.5714285714285716,4.5,27.69470237775426,t6p18r15h3,0.0,0.0,0.0
6,1,19,18,6,2,2,51917.0,75.0,2.0,133.94736842105263,448.0,386.5,8.052631578947368,3.1666666666666665,1.0555555555555556,3.1666666666666665,9.5,19.070774615742394,t6p19r2h1,0.0,0.0,0.0
3,2,20,18,6,4,16,37114.0,67.0,3.0,149.2,417.0,129.73684210526315,5.1,6.666666666666667,1.1111111111111112,3.3333333333333335,5.0,6.0336085498616825,t3p20r16h2,0.0,0.0,0.0
3,5,21,17,9,4,13,51555.0,86.0,3.0,80.52380952380952,490.0,171.9,3.8095238095238093,7.0,1.2352941176470589,2.3333333333333335,5.25,10.089103032480141,t3p21r13h5,0.0,0.0,0.0
3,1,22,18,9,3,6,35586.0,78.0,3.0,88.54545454545455,464.0,114.61904761904762,5.409090909090909,7.333333333333333,1.2222222222222223,2.4444444444444446,7.333333333333333,6.484238696556667,t3p22r6h1,0.0,0.0,0.0
3,4,23,21,9,4,12,57550.0,66.0,3.0,94.08695652173913,509.0,175.45454545454547,3.4782608695652173,7.666666666666667,1.0952380952380953,2.5555555555555554,5.75,8.446232472245043,t3p23r12h4,0.0,0.0,0.0
3,5,24,23,6,3,7,63204.0,58.0,3.0,85.54166666666667,359.0,178.91304347826087,4.583333333333333,8.0,1.0434782608695652,4.0,8.0,11.324897709407553,t3p24r7h5,0.0,0.0,0.0
4,1,20,19,6,3,8,23341.0,50.0,2.0,120.7,544.0,176.8421052631579,5.4,5.0,1.0526315789473684,3.3333333333333335,6.666666666666667,10.266261339146618,t4p20r8h1,0.0,0.0,0.0
4,2,21,19,6,3,8,25963.0,70.0,2.0,126.47619047619048,418.0,183.3,5.142857142857143,5.25,1.105263157894737,3.5,7.0,9.154780172128659,t4p21r8h2,0.0,0.0,0.9400705052878966
4,1,22,19,5,2,2,62362.0,71.0,4.0,95.0,595.0,198.0,11.454545454545455,5.5,1.1578947368421053,4.4,11.0,12.828539611796371,t4p22r2h1,0.0,0.0,0.0
4,2,23,21,7,4,10,52398.0,63.0,2.0,119.65217391304348,324.0,315.95454545454544,5.217391304347826,5.75,1.0952380952380953,3.2857142857142856,5.75,18.76524173893481,t4p23r10h2,0.0,0.0,0.0
4,1,24,23,6,2,2,36572.0,52.0,2.0,106.29166666666667,428.0,214.65217391304347,5.5,6.0,1.0434782608695652,4.0,12.0,10.577287790980847,t4p24r2h1,0.0,0.0,0.0
5,1,20,17,6,2,2,48588.0,60.0,3.0,115.8,530.0,169.42105263157896,11.2,4.0,1.1764705882352942,3.3333333333333335,10.0,10.917469291647768,t5p20r2h1,0.0,6.416354987472311,6.416354987472311
5,2,21,18,9,2,2,47706.0,43.0,2.0,106.61904761904762,461.0,316.75,4.857142857142857,4.2,1.1666666666666667,2.3333333333333335,10.5,17.54672334084059,t5p21r2h2,0.0,0.0,0.0
5,2,22,22,5,4,13,30610.0,87.0,2.0,114.63636363636364,457.0,202.52380952380952,5.7272727272727275,4.4,1.0,4.4,5.5,11.91485286610211,t5p22r13h2,0.0,0.0,0.0
5,1,23,23,2,2,2,43119.0,82.0,2.0,119.04347826086956,501.0,268.04545454545456,5.739130434782608,4.6,1.0,11.5,11.5,13.742691521238983,t5p23r2h1,0.0,0.0,0.0
5,2,24,20,7,2,2,55071.0,55.0,2.0,91.91666666666667,462.0,326.7826086956522,4.75,4.8,1.2,3.4285714285714284,12.0,14.074202492624678,t5p24r2h2,0.0,0.0,0.0
6,2,20,20,5,2,2,48855.0,43.0,2.0,83.8,451.0,346.6842105263158,7.6,3.3333333333333335,1.0,4.0,10.0,15.844815295394023,t6p20r2h2,0.0,0.0,0.0
6,1,21,21,4,2,2,10147.0,79.0,2.0,83.52380952380952,329.0,85.6,5.714285714285714,3.5,1.0,5.25,10.5,4.768647607026545,t6p21r2h1,0.0,0.0,0.0
6,1,22,20,8,2,2,53404.0,51.0,2.0,113.18181818181819,327.0,335.95238095238096,7.7727272727272725,3.6666666666666665,1.1,2.75,11.0,21.10850920832005,t6p22r2h1,0.0,21.63230028398568,21.63230028398568
6,2,23,19,10,2,2,38324.0,72.0,2.0,98.95652173913044,352.0,237.04545454545453,6.260869565217392,3.8333333333333335,1.2105263157894737,2.3,11.5,13.271559724488345,t6p23r2h2,68.55997015482185,0.0,0.0
6,1,24,21,7,4,16,48009.0,43.0,2.0,90.58333333333333,502.0,282.7391304347826,7.5,4.0,1.1428571428571428,3.4285714285714284,6.0,16.36862691461759,t6p24r16h1,14.725123378859175,24.46918397796396,0.0
3,1,16,13,8,3,10,51540.0,180.0,5.333333333333333,67.5,600.0,194.66666666666666,6.875,5.333333333333333,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t3p16r10h1,0.0,2.4206562668101133,8.5529854760624
3,1,16,13,8,3,6,51540.0,180.0,5.333333333333333,67.5,600.0,194.66666666666666,6.875,5.333333333333333,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t3p16r6h1,0.0,0.0,0.0
3,4,16,13,8,3,6,51540.0,180.0,5.333333333333333,67.5,600.0,194.66666666666666,6.875,5.333333333333333,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t3p16r6h4,0.0,0.0,0.2550153009180551
3,6,16,13,8,3,6,51540.0,180.0,5.333333333333333,67.5,600.0,194.66666666666666,6.875,5.333333333333333,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t3p16r6h6,0.0,0.0,0.0
3,1,16,13,8,3,8,51540.0,180.0,5.333333333333333,67.5,600.0,194.66666666666666,6.875,5.333333333333333,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t3p16r8h1,0.0,11.730395333765392,30.784186649384317
4,1,16,13,8,3,10,51540.0,180.0,4.0,67.5,600.0,194.66666666666666,6.875,4.0,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t4p16r10h1,0.0,0.5376344086021506,2.227342549923195
4,1,16,13,8,3,6,51540.0,180.0,5.25,67.5,600.0,194.66666666666666,6.875,4.0,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t4p16r6h1,0.0,14.650638617580766,0.0
4,4,16,13,8,3,6,51540.0,180.0,5.25,67.5,600.0,194.66666666666666,6.875,4.0,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t4p16r6h4,0.0,0.0,0.0
4,6,16,13,8,3,6,51540.0,180.0,5.25,67.5,600.0,194.66666666666666,6.875,4.0,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t4p16r6h6,0.0,0.0,0.0
4,1,16,13,8,3,8,51540.0,180.0,5.25,67.5,600.0,194.66666666666666,6.875,4.0,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t4p16r8h1,0.0,,9.277777777777779
5,1,16,13,8,3,10,51540.0,180.0,4.4,67.5,600.0,194.66666666666666,6.875,3.2,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t5p16r10h1,40.253411306042885,,0.0
5,1,16,13,8,3,6,51540.0,180.0,4.4,67.5,600.0,194.66666666666666,6.875,3.2,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t5p16r6h1,0.0,,0.0
5,4,16,13,8,3,6,51540.0,180.0,4.4,67.5,600.0,194.66666666666666,6.875,3.2,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t5p16r6h4,0.0,0.45924470266575534,0.0
4,6,16,13,8,3,6,51540.0,180.0,4.4,67.5,600.0,194.66666666666666,6.875,4.0,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t5p16r6h6,0.0,0.0,0.0
5,1,16,13,8,3,8,51540.0,180.0,4.4,67.5,600.0,194.66666666666666,6.875,3.2,1.2307692307692308,2.0,5.333333333333333,76.7564691446627,t5p16r8h1,0.0,,3.4990791896869244
